IFR;PERC_D;PERC_K;MFI;UO;SUPRES;FUT
53,87 ;80,65 ;62,43 ;59,90 ;55,48 ;78,58 ;2
53,24 ;78,18 ;51,20 ;59,80 ;50,90 ;77,58 ;1
52,85 ;73,51 ;38,72 ;55,34 ;51,42 ;76,21 ;1
55,44 ;67,68 ;37,68 ;53,77 ;56,03 ;80,64 ;1
60,35 ;62,67 ;50,78 ;54,27 ;59,46 ;89,90 ;2
60,21 ;60,52 ;68,73 ;58,57 ;60,26 ;89,71 ;1
58,70 ;60,24 ;80,51 ;52,27 ;61,04 ;87,45 ;1
62,37 ;61,24 ;86,58 ;52,05 ;66,50 ;94,42 ;2
65,45 ;62,84 ;88,96 ;52,17 ;67,52 ;96,11 ;3
60,51 ;65,69 ;88,01 ;45,74 ;64,02 ;90,38 ;2
60,95 ;68,90 ;80,16 ;47,42 ;60,53 ;91,16 ;3
54,67 ;71,89 ;65,62 ;39,06 ;48,29 ;83,38 ;2
54,97 ;73,30 ;50,38 ;39,55 ;49,69 ;83,84 ;1
52,16 ;70,92 ;29,32 ;41,42 ;47,56 ;80,36 ;1
59,02 ;67,06 ;34,01 ;54,10 ;47,73 ;90,97 ;3
58,83 ;63,02 ;44,17 ;54,00 ;43,83 ;90,74 ;3
54,49 ;59,03 ;50,61 ;53,72 ;42,64 ;85,38 ;3
49,16 ;52,97 ;34,49 ;44,42 ;39,75 ;78,30 ;3
40,73 ;44,84 ;14,79 ;35,21 ;35,20 ;64,38 ;1
40,60 ;36,81 ;7,88 ;27,89 ;35,47 ;63,81 ;1
48,26 ;31,44 ;17,28 ;33,90 ;42,43 ;73,55 ;2
48,26 ;29,24 ;30,61 ;32,85 ;33,35 ;73,55 ;2
52,45 ;31,04 ;45,51 ;31,29 ;40,50 ;78,58 ;2
52,45 ;32,93 ;51,05 ;37,07 ;43,00 ;78,30 ;2
47,35 ;33,81 ;52,07 ;36,64 ;41,93 ;70,41 ;2
50,12 ;34,17 ;53,83 ;44,06 ;49,72 ;73,36 ;2
49,20 ;36,83 ;58,43 ;42,44 ;48,37 ;69,41 ;2
50,37 ;42,92 ;69,64 ;42,42 ;47,21 ;71,25 ;2
52,71 ;50,47 ;75,80 ;41,48 ;49,16 ;74,35 ;2
52,41 ;57,11 ;77,07 ;36,92 ;41,96 ;73,43 ;2
49,26 ;61,31 ;68,41 ;37,80 ;39,13 ;68,50 ;2
48,95 ;62,20 ;53,53 ;42,71 ;41,45 ;68,05 ;2
47,38 ;60,54 ;36,03 ;47,28 ;39,98 ;65,62 ;2
50,56 ;58,85 ;36,95 ;59,14 ;47,63 ;66,90 ;1
